																					Class	L	R	B	B	B
																					File type	Sample	Sample	Blank	Blank	Blank
																					Injection order	1	2	3	4	5
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Post curation result	Fill %	MS/MS included	Formula	Ontology	INCHIKEY	SMILES	Comment	Isotope tracking parent ID	Isotope tracking weight number	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	20180104_RG_01L	20180104_RG_01R	Blank_01_180104205754	Blank_01_180104225037	Blank_01_180105013944
1	0.417	500.17673	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.22	20180104_RG_01L	500.17673:16053 501.18008:7026 502.18344:8648		16053	12641	10748	3120	1024
2	1.492	500.18994	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.82	20180104_RG_01L	500.18994:18229 501.19329:3546 502.19665:463		18229	0	471	100	0
3	2.962	500.2355	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.53	20180104_RG_01R	500.2355:11392 501.23885:5099 502.24221:0		104	11392	0	0	0
4	0.439	500.84421	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.03	20180104_RG_01L	500.84421:20699 501.84756:0 502.85092:5925		20699	7179	1305	238	1855
5	0.411	500.91849	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	144.33	20180104_RG_01R	500.91849:638099 501.92184:1869077 502.9252:2512740	70.99743:18279 85.53377:2503 86.99302:16573 91.99551:4774 102.988:16644 114.98769:279780 130.98318:449605 131.9843:3264 158.97847:2222368 159.97958:35710 188.97401:3026 192.45142:2244 216.968:61304 228.97003:26844 244.96336:11278 272.95856:1519212 273.96179:46276 386.9379:115948 387.93558:3275	508	638099	0	0	559
6	0.591	501.01627	Unknown	[M-H]-	similar chromatogram in higher mz_3298; similar chromatogram in higher mz_3579; similar chromatogram in higher mz_307; similar chromatogram in higher mz_2898; similar chromatogram in higher mz_2282; similar chromatogram in higher mz_3608; similar chromatogram in higher mz_2275; similar chromatogram in higher mz_130; similar chromatogram in higher mz_159; similar chromatogram in higher mz_1144; similar chromatogram in higher mz_1266; similar chromatogram in higher mz_3667; similar chromatogram in higher mz_4260	0.2	False	null	null	null	null		null	null	null	null	null	2.28	20180104_RG_01L	501.01627:14788 502.01962:4311 503.02298:5511		14788	0	0	0	0
7	1.913	501.10721	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.23	20180104_RG_01L	501.10721:33241 502.11056:11912 503.11392:10995		33241	0	0	0	0
